category,sub_category,job_title,province,job_company,job_industry,job_finance,job_scale,job_welfare,job_experience,job_education,job_skills,salary_lower,salary_high,city,district,street
后端开发,Python,地图数据发布编译高级工程师,北京,百度,互联网,已上市,10000人以上,"免费班车,娱乐健身,零食下午茶,补充医疗保险,住房补贴,年终奖,通讯补贴,节日福利,交通补助,五险一金,加班补助,定期体检,餐补,带薪年假,员工旅游",3,本科,"GIS,C++,MySQL,地图数据,架构设计经验,Python",25,50,北京,海淀区,上地
后端开发,Python,python青少儿编程老师,江苏,贝塔教育科技,培训/辅导机构,不需要融资,100-499人,"生日福利,全勤奖,五险一金,年终奖,保底工资,底薪加提成,加班补助,带薪年假,高温补贴,工龄奖,有无线网,员工旅游,绩效奖金,节日福利,团建聚餐",1,大专,"Python,爬虫经验,机器学习经验",7,12,无锡,锡山区,安镇
后端开发,Python,Python开发工程师,江苏,睿服科技,计算机软件,不需要融资,1000-9999人,"五险一金,定期体检,年终奖,带薪年假,节日福利",2,本科,"Python,MySQL",12,15,南京,雨花台区,安德门
后端开发,Python,高级python开发工程师,河南,牧原智能科技,智能硬件,未融资,1000-9999人,"五险一金,股票期权,团建聚餐,包住,节日福利,带薪年假,员工旅游,节假日加班费,餐补,保底工资,底薪加提成,有无线网,宿舍有空调,绩效奖金",2,本科,"机器学习/算法工程,Python,MySQL,Scrapy,,",15,20,郑州,管城回族区,郑州东站
后端开发,Python,软件开发工程师（python）,江苏,智能网联汽车创新中心,汽车研发/制造,20-99人,无,"高温补贴,员工旅游,定期体检,节日福利,补充医疗保险,餐补,意外险,带薪年假,绩效奖金,五险一金,生日福利,交通补助,年终奖",1,本科,"后端,爬虫,数据开发,Python,计算机相关专业",10,15,苏州,吴江区,松陵
后端开发,Python,SQL Server/MYSQL 开发专家,浙江,阿里巴巴集团,互联网,已上市,10000人以上,"零食下午茶,年终奖,补充医疗保险,免费班车,节日福利,股票期权,餐补,交通补助,员工旅游,五险一金",0,本科,"Python,Go,C#,Java,SQL Server,MySQL,NoSQL,",25,50,杭州,余杭区,仓前
后端开发,Python,后端开发实习生,北京,数名科技,计算机软件,不需要融资,0-20人,"节日福利,节假日加班费,带薪年假,股票期权,绩效奖金,五险一金,法定节假日三薪,有无线网,企业年金,团建聚餐,年终奖",0,3个月,"Python,MySQL",150,200元/天,北京,海淀区,中关村
后端开发,Python,python教师,黑龙江,海伦市松果教育咨...,学前教育,0-20人,无,"保底工资,绩效奖金,底薪加提成",1,大专,"Python,C++,机器学习经验",2,6,绥化,海伦市,中心广场
后端开发,Python,高级python开发工程师,山西,精英科技,计算机服务,未融资,500-999人,"年终奖,包吃,餐补,通讯补贴,员工旅游,带薪年假,零食下午茶,节日福利,五险一金",2,本科,"Python,MongoDB,MySQL",10,15,太原,小店区,南中环街
后端开发,Python,后端开发工程师,广东,红袜子,移动互联网,不需要融资,0-20人,"五险一金,年终奖,股票期权",2,本科,"Python,Java,Go",15,25,深圳,南山区,蛇口
